Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
get_obj_cgroup_from_current,0.08,0.22,0.11859999999999994
net_write_packet,0.08,0.22,0.11789999999999994
iomap_file_buffered_write,0.07,0.31,0.11729999999999993
substitute_for_best_equal_field,0.07,0.22,0.11679999999999997
set_next_entity,0.07,0.2,0.11619999999999994
__irqentry_text_end,0.09,0.16,0.11609999999999988
Log_file_handle::write,0.06,0.23,0.1159
clock_nanosleep,0.04,0.76,0.11559999999999998
syscall_exit_work,0.08,0.27,0.11559999999999994
JOIN::cleanup,0.07,0.2,0.11549999999999988
Item_field::set_field,0.07,0.2,0.11499999999999996
mtr_t::Command::execute,0.08,0.21,0.11449999999999996
init_table_iterator,0.07,0.19,0.11409999999999995
__x64_sys_clock_nanosleep,0.04,0.75,0.11320000000000001
restore_fpregs_from_fpstate,0.07,0.23,0.11299999999999993
JOIN::get_best_combination,0.08,0.2,0.11289999999999989
security_socket_sendmsg,0.07,0.24,0.11279999999999993
common_nsleep,0.04,0.75,0.1124
hrtimer_nanosleep,0.04,0.75,0.11230000000000001
IO_CACHE_ostream::sync,0.07,0.18,0.11229999999999993
do_nanosleep,0.04,0.75,0.11209999999999999
MYSQL_BIN_LOG::sync_binlog_file,0.07,0.18,0.11209999999999994
xlog_cil_force_seq,0.05,0.39,0.1109
fdatasync,0.07,0.18,0.11049999999999993
pfs_set_thread_info_vc,0.07,0.2,0.11
xlog_cil_push_now.isra.0,0.05,0.39,0.1099
ttwu_queue_wakelist,0.06,0.22,0.10979999999999998
Item::Item,0.07,0.21,0.10929999999999992
get_and_lock_tablespace_names,0.07,0.19,0.10889999999999996
__x64_sys_fdatasync,0.06,0.18,0.10859999999999995
ha_innobase::innobase_get_index,0.07,0.19,0.10829999999999997
kmem_cache_free,0.07,0.2,0.10829999999999995
PTI_text_literal_text_string::itemize,0.07,0.19,0.10569999999999999
xfs_file_write_checks,0.05,0.2,0.10569999999999996
JOIN::optimize_distinct_group_order,0.06,0.19,0.10549999999999997
mysql_audit_acquire_plugins,0.06,0.19,0.10539999999999994
CRYPTO_zalloc,0.07,0.19,0.10519999999999997
Item_field::used_tables,0.07,0.19,0.10519999999999995
check_preempt_wakeup_fair,0.06,0.2,0.10499999999999998
file_modified_flags,0.05,0.2,0.10459999999999998
TABLE::init,0.06,0.17,0.10459999999999996
JOIN::finalize_table_conditions,0.06,0.19,0.10379999999999995
__flush_workqueue,0.04,0.36,0.10330000000000002
xfs_vn_update_time,0.05,0.19,0.10300000000000001
task_tick_fair,0.08,0.13,0.1029999999999999
PT_item_list::contextualize,0.06,0.18,0.10270000000000001
store_key::copy,0.06,0.19,0.10209999999999995
Optimize_table_order::best_access_path,0.06,0.2,0.10119999999999997
update_curr_task,0.06,0.19,0.10079999999999999
digest_add_token,0.06,0.17,0.1002
iomap_write_iter,0.06,0.26,0.0986
check_one_table_access,0.06,0.18,0.0981
PFS_memory_safe_stat::count_alloc,0.06,0.19,0.09769999999999998
rep_movs_alternative,0.06,0.2,0.09760000000000002
syscall_trace_enter.constprop.0,0.05,0.18,0.09759999999999999
MEM_ROOT::FreeBlocks,0.06,0.17,0.09759999999999999
Sql_cmd_delete::prepare_inner,0.06,0.16,0.0964
__submit_bio_noacct,0.06,0.25,0.09579999999999998
avc_has_perm,0.05,0.21,0.09579999999999998
put_prev_entity,0.06,0.19,0.09570000000000002
__submit_bio,0.06,0.24,0.09429999999999998
Protocol_classic::parse_packet,0.06,0.16,0.09379999999999997
__calc_delta,0.06,0.16,0.09289999999999997
check_single_table_access,0.05,0.17,0.09200000000000003
Item_basic_constant::used_tables,0.05,0.17,0.09190000000000001
Protocol_classic::net_store_data_with_conversion,0.06,0.17,0.0919
selinux_socket_sendmsg,0.06,0.2,0.09180000000000002
update_rq_clock,0.06,0.17,0.09140000000000001
sock_poll,0.06,0.13,0.0911
__kmem_cache_free,0.05,0.17,0.091
tree_and,0.06,0.16,0.09090000000000005
memcg_slab_post_alloc_hook,0.05,0.18,0.09080000000000002
_copy_to_iter,0.05,0.17,0.09050000000000004
btr_get_size,0.09,0.09,0.09
