Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
PolicyMutex<TTASEventMutex<GenericPolicy> >::enter,0.2,0.4,0.2825
find_get_pages_tag,0.2,0.38,0.2775
sysret_audit,0.15,0.36,0.274
Binlog_event_writer::write,0.21,0.36,0.2735
fseg_alloc_free_page_general,0.19,0.33,0.2715
page_copy_rec_list_end_to_created_page,0.19,0.38,0.27149999999999996
Item_func::fix_func_arg,0.2,0.39,0.27099999999999996
MYSQL_BIN_LOG::sync_binlog_file,0.19,0.4,0.2695000000000001
__ext4_journal_stop,0.18,0.34,0.269
IO_CACHE_ostream::sync,0.19,0.4,0.2685
my_timer_cycles,0.2,0.35,0.2685
cmp_dtuple_rec_with_match_bytes,0.2,0.32,0.2665
ha_innobase::extra,0.18,0.36,0.26400000000000007
THD::enter_stage,0.17,0.39,0.26350000000000007
[libc-2.17.so],0.17,0.4,0.263
Query_block::add_table_to_list,0.18,0.32,0.26100000000000007
sys_fdatasync,0.17,0.4,0.2585
IndexRangeScanIterator::Init,0.16,0.35,0.257
fold_condition,0.19,0.34,0.25450000000000006
sync_array_wait_event,0.17,0.33,0.2545
btr_pcur_t::move_to_next,0.18,0.33,0.25300000000000006
rw_lock_x_lock_func,0.19,0.36,0.253
poll_schedule_timeout,0.18,0.34,0.252
PT_select_item_list::contextualize,0.2,0.34,0.24949999999999997
ha_innobase::update_thd,0.18,0.32,0.24800000000000005
jbd2_journal_stop,0.18,0.31,0.2475
tcp_cleanup_rbuf,0.18,0.36,0.24700000000000005
THD::send_statement_status,0.2,0.29,0.24650000000000008
dev_queue_xmit,0.17,0.32,0.2465
schedule_hrtimeout_range,0.18,0.34,0.2465
Double_write::write_complete,0.16,0.31,0.24600000000000005
btr_pcur_t::move_to_next_page,0.17,0.33,0.2435
schedule_hrtimeout_range_clock,0.17,0.34,0.24200000000000005
cs::util::ReplicatedColumnsView::ReplicatedColumnsView,0.13,0.35,0.24100000000000005
page_copy_rec_list_end_no_locks,0.16,0.36,0.24099999999999996
__audit_syscall_exit,0.13,0.32,0.24
__dev_queue_xmit,0.17,0.32,0.23950000000000005
handler::ha_external_lock,0.16,0.3,0.2395
ha_innobase::info_low,0.16,0.31,0.23800000000000004
MYSQL_BIN_LOG::write_cache,0.16,0.3,0.23750000000000004
my_free,0.19,0.31,0.23699999999999996
tcp_send_ack,0.17,0.34,0.23550000000000004
MYSQL_BIN_LOG::do_write_cache,0.17,0.28,0.23350000000000004
__block_write_begin,0.18,0.29,0.23300000000000004
IndexRangeScanIterator::shared_reset,0.13,0.33,0.23199999999999998
rec_init_offsets,0.15,0.31,0.23000000000000004
ib_srv_wkr-1,0.01,0.39,0.22947368421052633
"stream_copy<IO_CACHE_binlog_cache_storage, Basic_ostream>",0.16,0.28,0.229
Query_result_send::send_data,0.15,0.31,0.22799999999999998
posix_ktime_get_ts,0.17,0.3,0.22749999999999998
kvm_clock_get_cycles,0.17,0.32,0.2265
Item_cond::itemize,0.13,0.3,0.2265
Fil_system::flush_file_spaces,0.15,0.28,0.22450000000000006
__block_write_begin_int,0.18,0.29,0.22200000000000006
Log_event::write,0.17,0.32,0.2185
buf_page_create,0.16,0.27,0.2185
ktime_get_ts64,0.15,0.31,0.21849999999999997
InitIndexRangeScan,0.12,0.29,0.21550000000000002
Write_rows_log_event::binlog_row_logging_function,0.14,0.27,0.21550000000000002
Fil_shard::flush_file_spaces,0.15,0.27,0.21550000000000002
ha_remove_a_node_to_page,0.15,0.29,0.2145
substitute_for_best_equal_field,0.15,0.28,0.21350000000000002
ha_delete_hash_node,0.14,0.3,0.2125
pfs_memory_alloc_vc,0.15,0.33,0.2125
JOIN::init_planner_arrays,0.14,0.29,0.21200000000000002
ha_insert_for_hash_func,0.15,0.25,0.21050000000000005
remove_eq_conds,0.17,0.28,0.20950000000000002
PTI_simple_ident_ident::itemize,0.13,0.3,0.2085
PTI_expr_with_alias::itemize,0.16,0.29,0.20800000000000005
THD::binlog_write_row,0.14,0.27,0.20600000000000004
LEX::new_top_level_query,0.14,0.29,0.20500000000000002
pvclock_clocksource_read,0.12,0.26,0.2015
unlock_page,0.15,0.24,0.20100000000000007
mark_page_accessed,0.13,0.28,0.1975
__read_lock_failed,0.11,0.29,0.19749999999999998
alloc_query,0.13,0.26,0.19699999999999998
auditsys,0.15,0.27,0.196
check_access,0.13,0.25,0.19449999999999995
create_ref_for_key,0.11,0.25,0.19250000000000003
MYSQL_BIN_LOG::flush_and_set_pending_rows_event,0.13,0.27,0.1925
__audit_syscall_entry,0.13,0.26,0.192
PTI_comp_op::itemize,0.15,0.24,0.1915
MDL_context::find_ticket,0.12,0.26,0.19
pthread_mutex_unlock,0.13,0.26,0.18950000000000006
lock_table_names,0.13,0.26,0.1895
tcp_packet,0.11,0.26,0.1895
__memcmp_sse4_1,0.15,0.25,0.18850000000000006
buf_flush_write_complete,0.14,0.28,0.18850000000000003
__clock_gettime,0.14,0.25,0.1885
LEX::new_query,0.12,0.27,0.18800000000000006
Sql_cmd_select::precheck,0.1,0.29,0.18550000000000005
__ext4_journal_get_write_access,0.15,0.28,0.18549999999999997
__strlen_sse2_pminub,0.12,0.23,0.18450000000000003
THD::send_result_set_row,0.12,0.25,0.1845
LEX::reset,0.13,0.26,0.18400000000000002
jbd2_journal_get_write_access,0.14,0.27,0.18300000000000002
blk_mq_sched_get_request,0.14,0.26,0.183
